vegetable_type,storage_temperature,humidity_percent,transport_time_hours,days_since_harvest,storage_type,packaging_type,bruising_level,initial_quality_score,season,district,spoilage_risk_level,estimated_days_remaining,recommended_action
Carrot,36.86171947440931,41.923261341300645,37.64547701282016,4,Warehouse,Crate,2,61.77746675897602,Summer,Madurai,Low,8.589084489068917,Safe for long transport
Ladies Finger,29.04460046972835,76.02471755674296,1.967471231902715,1,Open Air,Crate,3,57.50213529560301,Monsoon,Coimbatore,Low,7.352377232632463,Safe for long transport
Coriander,25.990257265289515,58.07642621173753,14.68776958930797,2,Warehouse,Crate,3,78.21266556524378,Winter,Erode,Medium,4.996651049643068,Sell within 2 days / Cold Storage
Potato,20.29847965068651,93.91000757744123,22.937855982655055,4,Warehouse,Jute Bag,0,59.95154778955839,Monsoon,Trichy,Low,9.618740186437199,Safe for long transport
Brinjal,42.68807022739411,66.61373415996005,19.11457561937606,1,Cold Storage,Crate,3,65.20457481218804,Summer,Chennai,Low,11.823953814739925,Safe for long transport
Carrot,29.399866311304837,84.15766926285067,9.148138714865288,0,Open Air,None,1,77.75467623473735,Monsoon,Chennai,Low,8.258613706597679,Safe for long transport
Beans,26.868411173731186,42.015539609159255,46.57047750493425,1,Open Air,Crate,3,69.93699936433255,Winter,Tirunelveli,Low,6.528731485973341,Safe for long transport
Cabbage,27.817758976215977,63.85422690167854,46.175085144419405,4,Cold Storage,Crate,4,55.60253496991544,Winter,Vellore,Low,11.418709983529219,Safe for long transport
Spinach,16.23738038749523,65.27524540528614,7.623438573813845,6,Cold Storage,Plastic Bag,0,75.16734307889972,Winter,Salem,Low,11.163138332244081,Safe for long transport
Cabbage,5.220884684944096,83.00499284956422,34.222295160838,2,Warehouse,Plastic Bag,4,71.78902635540047,Monsoon,Madurai,Low,9.052187053936372,Safe for long transport
Coriander,9.634762381005189,86.10172268191357,30.295011960895224,1,Cold Storage,None,4,68.88818535014192,Monsoon,Vellore,Low,10.069901654787689,Safe for long transport
Cabbage,15.988871719602567,66.48082268010057,18.99756311342812,6,Open Air,Jute Bag,4,48.83831592708489,Winter,Salem,Low,5.751519600522524,Safe for long transport
Carrot,6.617343581537254,76.19308782957617,6.211868578156072,3,Cold Storage,Jute Bag,0,70.43067943228979,Monsoon,Vellore,Low,12.943566002794773,Safe for long transport
Brinjal,41.30265895704372,46.20399489467687,20.287997382674597,2,Cold Storage,None,2,74.84354799119114,Summer,Trichy,Low,12.080858893109616,Safe for long transport
